DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;FX_ETARIA;NOME_ANT;LATITUDE;LONGITUDE;DATABASE
G;86;EMEI;PAULO CAMILHIER FLORENCANO;PAULO CAMILHIER FLORENCANO;;GUAIANASES;GUAIANASES;RUA FELICIANO DE MENDONCA;502;JARDIM SAO PAULOZONA LESTE;8460365;25578348;25571947;25571947;Ativa;GUAIANASES;31;3103;35098711;35098711;1,625E+14;;13/06/1988;26.134;13/06/1988;;16/03/1991;;;;-23553905;-46398452;25/12/2023
FO;94;EMEI;VICENTE PAULO DA SILVA;VICENTE PAULO DA SILVA;;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;RUA DOUTOR FLEURY SILVEIRA;295;VILA SANTA MARIA;2563010;39813227;;;Ativa;LIMAO;50;5002;35098361;35098361;1,624E+14;;04/07/1988;26.314;04/07/1988;;16/03/1991;;;;-23489728;-46670198;25/12/2023
MP;108;EMEF;JOSE ERMIRIO DE MORAES, SEN.;JOSE ERMIRIO DE MORAES, SEN.;;SAO MIGUEL;SAO MIGUEL;RUA SAO BRAS DO SUACUI;159;JARDIM HELENA;8090290;25865294;25811484;;Ativa;JARDIM HELENA;44;4402;35098760;35098760;1,633E+14;;05/07/1988;26.312;05/07/1988;;13/03/2001;;;VILA NITRO OPERARIA;-23478312;-46427344;25/12/2023
BT;191;EMEF;ALIPIO CORREA NETO, PROF.;ALIPIO CORREA NETO, PROF.;;BUTANTA;BUTANTA;AVENIDA JOAO CAIAFFA;140;JARDIM TABOAO;5742100;58450121;;58450121;Ativa;VILA SONIA;94;9404;35098462;35098462;1,621E+14;;27/05/1988;26.003;27/05/1988;;16/03/1991;;;;-23612237;-46749888;25/12/2023
PJ;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;VERA LUCIA APARECIDA RIBEIRO, PROFA.;;PIRITUBA;PIRITUBA;RUA BENEDITO PEREIRA;206;JARDIM LIBANO;5138120;39067229;39067057;;Ativa;PIRITUBA;63;6301;35079029;35079029;1,63E+14;;22/06/1988;26.229;22/06/1988;;16/03/1991;;;;-23486142;-46733901;25/12/2023
BT;213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;ANTONIO CARLOS PACHECO E SILVA, PROF.;;BUTANTA;BUTANTA;AVENIDA JOÃO CAIAFFA;90;JARDIM TABOÃO;5742100;58448902;;58425113;Ativa;VILA SONIA;94;9404;35098504;35098504;1,621E+14;;07/06/1988;26.117;07/06/1988;;13/03/2001;;;;-23611929;-46750176;25/12/2023
FO;221;EMEI;NAIR CORREA BUARQUE;NAIR CORREA BUARQUE;;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;RUA SANTA ANGELA;51;VILA PALMEIRAS;2727000;39329355;39316339;;Ativa;FREGUESIA DO O;29;2910;35098425;35098425;1,624E+14;;22/06/1988;26.231;22/06/1988;;13/03/2001;;;INSTALADA JUNTO A EMPG ELIAS S. CAVALCANTI;-23498613;-46685953;25/12/2023
JT;230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA GASTAO MADEIRA;340;VILA MARIA ALTA;2131080;2955-9902;29676624;;Ativa;VILA MARIA;89;8906;35098395;35098395;1,628E+14;;13/07/1988;26.395;13/07/1988;;07/11/1992;;;PARQUE SHIBA;-23506186;-46585236;25/12/2023
JT;248;EMEI;WALFRIDO DE CARVALHO, CEL.;WALFRIDO DE CARVALHO, CEL.;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA VICENTE QUEROL;200;JARDIM SAO JOAO ZONA NORTE;2365008;29954062;;;Ativa;TREMEMBE;81;8104;35098383;35098383;1,628E+14;;16/09/1988;26.915;16/09/1988;;07/11/1992;;;JARDIM MARTINS SILVA;-23437360;-46585072;25/12/2023
CL;256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;WILMA ALVARENGA DE OLIVEIRA, PROFA.;;CAMPO LIMPO;CAMPO LIMPO;RUA INTEGRADA;395;COHAB INSTITUTO ADVENTISTA;5868670;58216627;58217976;;Ativa;CAPAO REDONDO;19;1905;35098656;35098656;1,622E+14;;21/09/1988;26.938;21/09/1988;;09/03/1991;;;;-23665048;-46777627;25/12/2023
