DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
PE;19542;EMEI;ANA MARCHIONE SALLES, PROFA.;ANA MARCHIONE SALLES, PROFA.;;PENHA;ERMELINO MATARAZZO;CONCEIÇÃO DA BREJAUBA;68;JARDIM POPULAR;3671010;27913565;;27915782;Ativa;64;PONTE RASA;6404;35246220;246220;161074199000000;;13/11/1999;38.673;12/11/1999;;13/03/2001;;JARDIM POPULAR;DIR;-23518698;-46509524;31/12/2010
PE;11851;EMEF;ANALIA FRANCO BASTOS;ANALIA FRANCO BASTOS;;PENHA;MOOCA;ARISTON AZEVEDO;20;CATUMBI;3021020;26182100;26932197;26182100;Ativa;8;BELEM;803;35076132;76132;161074161000000;;05/02/1992;31.184;05/02/1992;;13/12/1995;;;DIR;-23531113;-46592139;31/12/2010
PE;400592;CEI INDIR;ANIS AIDAR, DR;ANIS AIDAR, DR;;PENHA;MOOCA;SANTA RITA;800;PARI;3026030;26972186;;;Ativa;56;PARI;5601;35293003;293003;161074217000000;ZERO A 3A E 11M;06/07/2006;47.440;05/07/2006;30/08/2006;;;PARI II;CON;-23529917;-46608941;31/12/2010
PE;302244;ESC.PART.;ANJINHO PERALTA E.E.I.;ANJINHO PERALTA E.E.I.;;PENHA;PENHA;RUA   BETARI;525;PENHA DE FRANCA;3634040;2966191;;;Ativa;59;PENHA;;35157417;157417;;;;;;;07/02/1997;;;PAR;0;0;31/12/2010
PE;400007;CEI DIRET;ANNA FLORENCIO ROMAO;ANNA FLORENCIO ROMAO;;PENHA;PENHA;VISCONDE DO URUGUAI;380;VILA EUTHALIA;3518010;26534086;;;Ativa;91;VILA MATILDE;9102;35237772;237772;161074143000000;ZERO A 6A E 11M;13/11/1991;30.554;12/11/1991;;22/05/2007;;VILA EUTALIA;DIR;-23543595;-46522344;31/12/2010
PE;305189;ESC.PART.;ANNA MARIA BORTOLOTTO, E.E.I.;ANNA MARIA BORTOLOTTO, E.E.I.;;PENHA;PENHA;RUA DESEMBARGADOR  ROCHA PORTELA;747;ARTUR ALVIM;3567000;27490446;67491944;;Ativa;5;ARTUR ALVIM;503;35157168;157168;;;;;;;10/10/1996;;RAIOS DE LUZ PRE-ESCOLA;PAR;0;0;31/12/2010
PE;400008;CEI DIRET;ANTONIA MARIA TORRES DA SILVA;ANTONIA MARIA TORRES DA SILVA;;PENHA;ERMELINO MATARAZZO;RUA PADRE  TIAGO ALBERIONE;42;VILA BAUAB;3894200;22803693;;22803693;Ativa;64;PONTE RASA;6403;35237700;237700;161074201000000;ZERO A 6A E 11M;;;;;22/05/2007;;;DIR;-23515820;-46480214;31/12/2010
PE;400009;CEI DIRET;ANTONIA MUOTRI LAMBERGA;ANTONIA MUOTRI LAMBERGA;;PENHA;MOOCA;INÁCIO DE ARAÚJO;232;BRÁS;3053010;26921741;;26921741;Ativa;10;BRAS;1002;35239422;239422;161074164000000;ZERO A 6A E 11M;02/10/1992;32.368;01/10/1992;;03/04/2009;;;DIR;-23544238;-46606494;31/12/2010
PE;19388;CEU EMEF;ANTONIO CARLOS ROCHA;ANTONIO CARLOS ROCHA;TIQUATIRA;PENHA;PENHA;CONDESSA ELISABETH DE ROBIANO;SN;VILA MOREIRA;3074000;22270345;;;Ativa;59;PENHA;5901;35393277;393277;161074510000200;;21/05/2008;49510;20/05/2008;;;;TIQUATIRA;DIR;-23519466;-46553070;31/12/2010
PE;400453;CEI INDIR;ANTONIO ELPIDIO DA SILVA;ANTONIO ELPIDIO DA SILVA;;PENHA;PENHA;RUA   LINO CUNHA;375;CIDADE PATRIARCA;3547080;69588822;;;Ativa;91;VILA MATILDE;9104;35182242;182242;;ZERO A 6A 11M;24/02/1995;34.919;24/02/1995;20/07/2002;;;;CON;-23538535;-46509779;31/12/2010
