,Missing Data,Percentage
SETOR,721471,24.186663510931705
RACA,178666,5.989616246313607
MODAL,22424,0.7517443425572651
REDE,9473,0.3175737672603002
SEXO,521,0.017466054337867243
IDADE,503,0.01686262059874707
DESCSERIE,6,0.00020114457970672452
TURNO,0,0.0
QTDE,0,0.0
NEE,0,0.0
DESCTURNO,0,0.0
ID_ALUNO,0,0.0
PERIODO,0,0.0
DRE,0,0.0
ANO,0,0.0
DISTRITO,0,0.0
NOMESC,0,0.0
TIPOESC,0,0.0
CODESC,0,0.0
DATABASE,0,0.0
