DRE,proportion
CL,10.333735734239735
PJ,6.98350513874115
MP,6.759329504658005
SM,6.030817361056867
G,5.6050613340109665
FO,5.250544012277865
IP,5.145479493477719
CS,4.996632504494744
PE,4.672521538393974
SA,4.527261627749102
