IDADE,proportion
0.0,1.6208616743550386
1.0,5.643191147072886
2.0,7.338287689283825
3.0,7.491283941328302
4.0,6.9567861868157
5.0,5.599434822523677
6.0,4.747209151207775
7.0,3.0996242656146373
8.0,3.736555408248184
9.0,4.366143535497612
